"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","last_update"
"Chestnut Health Systems Inc","","50 Northgate Industrial Drive","","Granite City","IL","62040","","Madison","618-877-4420","","","888-924-3786","http://www.chestnut.org","38.745561","-90.131965","SA","2017-02-01 17:30:00"
"Mathers Recovery LLC","","81 East Grand Avenue","","Fox Lake","IL","60020","1557","Lake","224-908-3005","","","815-444-9999","http://www.themathersrecovery.com","42.3965518","-88.1762797","SA","2018-05-02 13:49:31.28"
"Gateway Foundation","Lake Villa","25480 West Cedarcrest Lane","","Lake Villa","IL","60046","","Lake","847-356-8205 x3366","Intakes","847-356-8205","877-505-4673","http://www.recovergateway.org","42.4254577","-88.1310257","SA","2019-06-18 11:42:11.614"
"Captain James A Lovell FHCC","","3001 Green Bay Road","Building 11","North Chicago","IL","60064","","Lake","224-610-4673","Intakes","224-610-5837","224-610-5724","http://","42.3053448","-87.8594725","SA","2019-02-05 16:05:01.048"
"Gateway Foundation","Alc and Drug Treatment/Gurnee","222 South Greenleaf Street","Suite 106","Gurnee","IL","60031","","Lake","847-473-6233","","877-505-4673","","http://recovergateway.org","42.3568196","-87.9029074","SA","2019-05-13 16:40:01.119"
"Gateway Foundation","Caseyville","600 West Lincoln Avenue","","Caseyville","IL","62232","","Saint Clair","618-345-3970 x3441","","618-345-3970","","http://www.gatewayfoundation.org","38.6333573","-90.0360381","SA","2019-08-26 16:11:03.881"
"Community Resource Center","","904 Martin Luther King Drive","","Centralia","IL","62801","","Marion","618-533-1391","","","","http://www.crconline.info/","38.529347","-89.1216","SA","2018-03-09 11:51:18.399"
"Gateway Foundation Swansea","","1 Bronze Pointe Boulevard","Suite 1","Belleville","IL","62226","1045","Saint Clair","618-234-9002","Intakes","618-234-9002 x3000","877-505-4673","http://www.recovergateway.org","38.5658064","-89.9857159","SA","2019-05-21 13:31:13.982"
"Southern IL Healthcare Foundation","SIHF Healthcare Centreville","6000 Bond Avenue","","East Saint Louis","IL","62207","","Saint Clair","618-332-2740","","","","http://","38.5690771","-90.107912","SA","2019-05-06 13:10:45.522"
"Chestnut Health Systems Inc","","12 North 64th Street","","Belleville","IL","62223","3809","Saint Clair","618-397-0900","","","","http://www.chestnut.org","38.5532438","-90.0373258","SA","2018-03-09 11:50:53.694"
"Centerstone of Illinois","","902 West Main Street","","West Frankfort","IL","62896","","Franklin","855-608-3560","","","","http://www.centerstone.org/","37.8972715","-88.9389173","SA","2018-11-07 14:51:34.401"
"Shawnee Health Care","Murphysboro","7 South Hospital Drive","","Murphysboro","IL","62966","","Jackson","618-519-9200","","","","http://www.shawneehealth.com","37.7737874","-89.3231216","SA","2019-01-14 11:14:55.146"
"Shawnee Health Care","Carterville","1006 South Division Street","","Carterville","IL","62918","","Williamson","618-519-9200","","","","http://www.shawneehealth.com","37.7505183","-89.0767042","SA","2019-01-14 11:15:02.689"
"Centerstone Inc","Illinois Centre Healthcare","3111 Williamson County Parkway","","Marion","IL","62959","","Williamson","855-608-3560","","","618-457-6703","http://www.centerstone.org","37.7505644","-88.9811353","SA","2019-01-30 14:44:51.551"
"Shawnee Health Care","Carbondale","400 South Lewis Lane","","Carbondale","IL","62901","","Jackson","618-519-9200","","","","http://www.shawneehealth.com","37.722601","-89.1999419","SA","2019-01-14 11:15:09.356"
"Gateway Foundation","Carbondale","1080 East Park Street","","Carbondale","IL","62901","","Jackson","618-529-1151 x2900","","618-529-1151","","http://www.RecoverGateway.org","37.7152957","-89.2005368","SA","2019-03-18 08:58:23.266"
"Centerstone of Illinois","","2311 South Illinois Avenue","","Carbondale","IL","62903","","Jackson","618-457-6703","","855-608-3560","","http://www.centerstone.org/","37.6925449","-89.2180947","SA","2018-03-09 11:51:21.322"
"Rural Health Inc","","513 North Main Street","","Anna","IL","62906","","Union","618-833-4471","","","","http://","37.4575177","-89.2535324","SA","2018-05-22 13:10:07.471"
"Community Health and Emerg Servs","","13245 Kessler Road","","Cairo","IL","62914","","Alexander","618-734-4400 x3013","","","","http://www.chesi.org","37.0400039","-89.1980809","SA","2019-01-30 14:45:36.308"
